caseId,group,sunDepressionDeg,targetGeometricAltitudeDeg,relativeAzimuthDeg,angularSeparationDeg,aod550,currentTwilightNl,hybridTwilightNl,absoluteTwilightNl,absoluteRelUncert,lutDirectionalRatio,currentTotalSkyMag,hybridTotalSkyMag,absoluteTotalSkyMag,currentNELM,hybridNELM,absoluteNELM,absMinusCurrentDex,absMinusCurrentNELMMag,hybMinusCurrentDex,hybMinusCurrentNELMMag
sd00p0_alt10p0_raz000p0_aod0p150,core,0,10,0,10.0,0.15,15054758.358986791,70862192.72064494,579377300.7115858,0.0030540884518053483,14.092773182342896,8.387034100509334,6.705203379267333,4.423853384309303,-5.367950869425787,-7.047095758827451,-9.326950964744205,1.5852876869505952,-3.9590000953184177,0.6727407976461919,-1.6791448894016643
sd00p0_alt10p0_raz090p0_aod0p150,core,0,10,90,90.0,0.15,7145088.213452578,12949504.938892253,105876616.69776309,0.003339372194334187,2.575342773358322,9.196179750582138,8.550582456803934,6.2692434577985505,-4.561052389856663,-5.20479198360818,-7.482637655190873,1.170792459938026,-2.92158526533421,0.25824557063362263,-0.6437395937515173
sd00p0_alt10p0_raz180p0_aod0p150,core,0,10,180,170.0,0.15,6690815.139451672,12959338.55398954,105957017.44677411,0.0034424955565163146,2.577298441138387,9.26749881268668,8.549758298624752,6.268419289409945,-4.48997438626059,-5.20561410488615,-7.483461110059594,1.1996506940465013,-2.9934867237990037,0.28710380474209796,-0.7156397186255603
sd00p0_alt30p0_raz000p0_aod0p150,core,0,30,0,30.0,0.15,8608615.334175933,23929179.843778912,195647680.2910387,0.003885401822283792,4.758934080791148,8.993883134218246,7.883911366488542,5.602562525174908,-4.762706659143442,-5.870043583844062,-8.148821450368844,1.3565414007128798,-3.3861147912254026,0.44399451140847646,-1.1073369247006202
sd00p0_alt30p0_raz090p0_aod0p150,core,0,30,90,90.0,0.15,5710543.402671903,8837604.050088584,72257250.06116493,0.004206112444160623,1.7575853155468069,9.439514107179244,8.965380520893639,6.684037848279898,-4.318574021891223,-4.791123469011026,-7.068239000464493,1.1022039926189482,-2.7496649785732696,0.18965710331454488,-0.4725494471198033
sd00p0_alt30p0_raz180p0_aod0p150,core,0,30,180,150.0,0.15,5370544.020386698,10438855.655464143,85349264.25468422,0.004221606499172853,2.07603546245915,9.506160473931011,8.784587519942846,6.503243346979879,-4.252179259518767,-4.97139760429374,-7.248851698540694,1.2011815009846298,-2.9966724390219266,0.2886346116802274,-0.7192183447749727
sd00p0_alt60p0_raz000p0_aod0p150,core,0,60,0,60.0,0.15,5801865.064800993,7866648.653795022,64318608.946380176,0.004951490192637815,1.5644858129096195,9.422293097908284,9.091743299230554,6.810399195219093,-4.335731259283607,-4.665149783404159,-6.942014001980203,1.044769019012672,-2.606282742696596,0.13222212970826863,-0.32941852412055184
sd00p0_alt60p0_raz090p0_aod0p150,core,0,60,90,90.0,0.15,5136767.00484265,5675832.835264281,46406251.07875828,0.005256084430475639,1.128785628799347,9.55448496399465,9.446137727071049,7.164796845941626,-4.204042076498244,-4.3119750647017625,-6.588043881594816,0.9558866181289529,-2.384001805096572,0.043339728824550505,-0.10793298820351893
sd00p0_alt60p0_raz180p0_aod0p150,core,0,60,180,120.0,0.15,4908958.378821113,5889136.720017474,48150247.76069549,0.0053176729238958095,1.1712066032474546,9.603735262553537,9.406083362122658,7.124742061838182,-4.154986993876028,-4.3518814267048125,-6.628046779543563,0.9916091762621706,-2.4730597856675356,0.07906228695776729,-0.19689443282878472
sd00p0_alt90p0_raz000p0_aod0p150,core,0,90,0,90.0,0.15,5028264.615046067,5031988.251483214,41142104.95644712,0.005657865323508011,1.0007405410657992,9.577664719305153,9.576861000199713,7.295520842915522,-4.180953650741648,-4.181754186870011,-6.45749602823615,0.912868383177881,-2.2765423774945024,0.0003214938734785733,-0.0008005361283629497
sd00p0_alt90p0_raz090p0_aod0p150,core,0,90,90,90.0,0.15,5028264.615046067,5014356.338714502,40997944.44385064,0.005627508904398459,0.9972339808271133,9.577664719305153,9.580671989190794,7.299331875144061,-4.180953650741648,-4.177958300992952,-6.453690291715789,0.9113439580072464,-2.2727366409741414,-0.0012029312971568729,0.0029953497486960856
sd00p0_alt90p0_raz180p0_aod0p150,core,0,90,180,90.0,0.15,5028264.615046067,5028264.615046067,41111660.08387183,0.005647403092909318,1.0,9.577664719305153,9.577664719305153,7.296324571126907,-4.180953650741648,-4.180953650741648,-6.456693416091776,0.9125468893044033,-2.275739765350128,0.0,0.0
sd02p0_alt30p0_raz000p0_aod0p150,sensitivity-depression,2,30,0,32.0,0.15,1306457.5757953292,,51750941.352719076,0.006791807709790972,,11.040900915974943,,7.046442900184549,-2.725974166255185,,-6.706247233450448,1.5978229424654344,-3.9802730671952626,,
