caseId,marginCurrent_m0,marginHybrid_m0,marginAbsolute_m0,marginCurrent_m1,marginHybrid_m1,marginAbsolute_m1,marginCurrent_m2,marginHybrid_m2,marginAbsolute_m2,marginCurrent_m3,marginHybrid_m3,marginAbsolute_m3
sd00p0_alt10p0_raz000p0_aod0p150,-5.367950869425787,-7.047095758827451,-9.326950964744205,-6.367950869425787,-8.047095758827451,-10.326950964744205,-7.367950869425787,-9.047095758827451,-11.326950964744205,-8.367950869425787,-10.047095758827451,-12.326950964744205
sd00p0_alt10p0_raz090p0_aod0p150,-4.561052389856663,-5.20479198360818,-7.482637655190873,-5.561052389856663,-6.20479198360818,-8.482637655190873,-6.561052389856663,-7.20479198360818,-9.482637655190873,-7.561052389856663,-8.20479198360818,-10.482637655190873
sd00p0_alt10p0_raz180p0_aod0p150,-4.48997438626059,-5.20561410488615,-7.483461110059594,-5.48997438626059,-6.20561410488615,-8.483461110059594,-6.48997438626059,-7.20561410488615,-9.483461110059594,-7.48997438626059,-8.20561410488615,-10.483461110059594
sd00p0_alt30p0_raz000p0_aod0p150,-4.762706659143442,-5.870043583844062,-8.148821450368844,-5.762706659143442,-6.870043583844062,-9.148821450368844,-6.762706659143442,-7.870043583844062,-10.148821450368844,-7.762706659143442,-8.870043583844062,-11.148821450368844
sd00p0_alt30p0_raz090p0_aod0p150,-4.318574021891223,-4.791123469011026,-7.068239000464493,-5.318574021891223,-5.791123469011026,-8.068239000464493,-6.318574021891223,-6.791123469011026,-9.068239000464493,-7.318574021891223,-7.791123469011026,-10.068239000464493
sd00p0_alt30p0_raz180p0_aod0p150,-4.252179259518767,-4.97139760429374,-7.248851698540694,-5.252179259518767,-5.97139760429374,-8.248851698540694,-6.252179259518767,-6.97139760429374,-9.248851698540694,-7.252179259518767,-7.97139760429374,-10.248851698540694
sd00p0_alt60p0_raz000p0_aod0p150,-4.335731259283607,-4.665149783404159,-6.942014001980203,-5.335731259283607,-5.665149783404159,-7.942014001980203,-6.335731259283607,-6.665149783404159,-8.942014001980203,-7.335731259283607,-7.665149783404159,-9.942014001980203
sd00p0_alt60p0_raz090p0_aod0p150,-4.204042076498244,-4.3119750647017625,-6.588043881594816,-5.204042076498244,-5.3119750647017625,-7.588043881594816,-6.204042076498244,-6.3119750647017625,-8.588043881594816,-7.204042076498244,-7.3119750647017625,-9.588043881594816
sd00p0_alt60p0_raz180p0_aod0p150,-4.154986993876028,-4.3518814267048125,-6.628046779543563,-5.154986993876028,-5.3518814267048125,-7.628046779543563,-6.154986993876028,-6.3518814267048125,-8.628046779543563,-7.154986993876028,-7.3518814267048125,-9.628046779543563
sd00p0_alt90p0_raz000p0_aod0p150,-4.180953650741648,-4.181754186870011,-6.45749602823615,-5.180953650741648,-5.181754186870011,-7.45749602823615,-6.180953650741648,-6.181754186870011,-8.45749602823615,-7.180953650741648,-7.181754186870011,-9.45749602823615
sd00p0_alt90p0_raz090p0_aod0p150,-4.180953650741648,-4.177958300992952,-6.453690291715789,-5.180953650741648,-5.177958300992952,-7.453690291715789,-6.180953650741648,-6.177958300992952,-8.45369029171579,-7.180953650741648,-7.177958300992952,-9.45369029171579
sd00p0_alt90p0_raz180p0_aod0p150,-4.180953650741648,-4.180953650741648,-6.456693416091776,-5.180953650741648,-5.180953650741648,-7.456693416091776,-6.180953650741648,-6.180953650741648,-8.456693416091776,-7.180953650741648,-7.180953650741648,-9.456693416091776
sd02p0_alt30p0_raz000p0_aod0p150,-2.725974166255185,,-6.706247233450448,-3.725974166255185,,-7.706247233450448,-4.725974166255185,,-8.706247233450448,-5.725974166255185,,-9.706247233450448
sd02p0_alt30p0_raz090p0_aod0p150,-2.310305961930505,,-5.627062604627703,-3.310305961930505,,-6.627062604627703,-4.310305961930505,,-7.627062604627703,-5.310305961930505,,-8.627062604627703
sd02p0_alt30p0_raz180p0_aod0p150,-2.2462229162220653,,-5.673678890869352,-3.2462229162220653,,-6.673678890869352,-4.246222916222065,,-7.673678890869352,-5.246222916222065,,-8.673678890869352
sd04p0_alt10p0_raz000p0_aod0p050,-1.4227970937494825,,-6.69261305902892,-2.4227970937494825,,-7.69261305902892,-3.4227970937494825,,-8.69261305902892,-4.422797093749482,,-9.69261305902892
sd04p0_alt10p0_raz000p0_aod0p150,-1.4227970937494825,-3.633040449711834,-6.270942166141689,-2.4227970937494825,-4.633040449711833,-7.270942166141689,-3.4227970937494825,-5.633040449711833,-8.270942166141689,-4.422797093749482,-6.633040449711833,-9.270942166141689
sd04p0_alt10p0_raz000p0_aod0p300,-1.4227970937494825,,-5.593322229165722,-2.4227970937494825,,-6.593322229165722,-3.4227970937494825,,-7.593322229165722,-4.422797093749482,,-8.593322229165722
sd04p0_alt10p0_raz090p0_aod0p150,-0.7081827499484262,-1.2134410995409142,-3.8347585750674953,-1.7081827499484263,-2.213441099540914,-4.834758575067495,-2.7081827499484263,-3.213441099540914,-5.834758575067495,-3.7081827499484263,-4.213441099540914,-6.834758575067495
sd04p0_alt10p0_raz180p0_aod0p050,-0.6395201912100944,,-3.1420906440189165,-1.6395201912100945,,-4.142090644018916,-2.6395201912100945,,-5.142090644018916,-3.6395201912100945,,-6.142090644018916
sd04p0_alt10p0_raz180p0_aod0p150,-0.6395201912100944,-0.46222906167816225,-3.0730186588578445,-1.6395201912100945,-1.4622290616781624,-4.073018658857844,-2.6395201912100945,-2.4622290616781624,-5.073018658857844,-3.6395201912100945,-3.4622290616781624,-6.073018658857844
sd04p0_alt10p0_raz180p0_aod0p300,-0.6395201912100944,,-2.967645566077709,-1.6395201912100945,,-3.967645566077709,-2.6395201912100945,,-4.967645566077708,-3.6395201912100945,,-5.967645566077708
sd04p0_alt20p0_raz090p0_aod0p150,-0.5613233241713406,-1.0898056577258086,-3.7098841713174058,-1.5613233241713407,-2.0898056577258086,-4.709884171317405,-2.5613233241713407,-3.0898056577258086,-5.709884171317405,-3.5613233241713407,-4.089805657725808,-6.709884171317405
sd04p0_alt30p0_raz000p0_aod0p050,-0.8523633614096017,,-4.741842469130557,-1.8523633614096018,,-5.741842469130557,-2.852363361409602,,-6.741842469130557,-3.852363361409602,,-7.741842469130557
sd04p0_alt30p0_raz000p0_aod0p150,-0.8523633614096017,-2.1041229572724256,-4.733950455534066,-1.8523633614096018,-3.1041229572724256,-5.733950455534066,-2.852363361409602,-4.104122957272425,-6.733950455534066,-3.852363361409602,-5.104122957272425,-7.733950455534066
sd04p0_alt30p0_raz000p0_aod0p300,-0.8523633614096017,,-4.640324753975541,-1.8523633614096018,,-5.640324753975541,-2.852363361409602,,-6.640324753975541,-3.852363361409602,,-7.640324753975541
sd04p0_alt30p0_raz045p0_aod0p150,-0.6375382988506736,-1.5663756826710888,-4.191656895008041,-1.6375382988506737,-2.566375682671089,-5.191656895008041,-2.6375382988506737,-3.566375682671089,-6.191656895008041,-3.6375382988506737,-4.566375682671088,-7.191656895008041
